"Plant_ID","Date","Hour","Med_W","Time","DateTime","dW","dt","Tr"
1,2024-10-24,12,8.79999999999995,"12:00:00",2024-10-24 12:00:00,4.00000000000005,1,4.00000000000005
1,2024-10-24,13,4.25,"13:00:00",2024-10-24 13:00:00,4.54999999999995,1,4.54999999999995
1,2024-10-24,14,-0.299999999999955,"14:00:00",2024-10-24 14:00:00,4.54999999999995,1,4.54999999999995
1,2024-10-24,15,-4.29999999999995,"15:00:00",2024-10-24 15:00:00,4,1,4
1,2024-10-24,16,-7.39999999999998,"16:00:00",2024-10-24 16:00:00,3.10000000000003,1,3.10000000000003
1,2024-10-24,17,-10.4,"17:00:00",2024-10-24 17:00:00,3.00000000000001,1,3.00000000000001
1,2024-10-24,18,-12.9,"18:00:00",2024-10-24 18:00:00,2.50000000000001,1,2.50000000000001
1,2024-10-25,1,-38.1,"01:00:00",2024-10-25 01:00:00,0,1,0
1,2024-10-25,14,-16.4,"14:00:00",2024-10-25 14:00:00,3,1,3
1,2024-10-25,15,-19.45,"15:00:00",2024-10-25 15:00:00,3.05,1,3.05
1,2024-10-25,16,-22.5,"16:00:00",2024-10-25 16:00:00,3.05,1,3.05
1,2024-10-25,17,-25.5,"17:00:00",2024-10-25 17:00:00,3,1,3
1,2024-10-25,18,-28.5,"18:00:00",2024-10-25 18:00:00,3,1,3
1,2024-10-25,19,-31.1,"19:00:00",2024-10-25 19:00:00,2.6,1,2.6
1,2024-10-25,20,-33.1,"20:00:00",2024-10-25 20:00:00,2,1,2
1,2024-10-25,21,-35.6,"21:00:00",2024-10-25 21:00:00,2.5,1,2.5
1,2024-10-25,22,-37.6,"22:00:00",2024-10-25 22:00:00,2,1,2
1,2024-10-25,23,-38.1,"23:00:00",2024-10-25 23:00:00,0.5,1,0.5
1,2024-10-26,1,-75.5,"01:00:00",2024-10-26 01:00:00,0,1,0
1,2024-10-26,3,-39.1,"03:00:00",2024-10-26 03:00:00,1,1,1
1,2024-10-26,4,-39.1,"04:00:00",2024-10-26 04:00:00,0,1,0
1,2024-10-26,5,-40.2,"05:00:00",2024-10-26 05:00:00,1.1,1,1.1
1,2024-10-26,6,-40.2,"06:00:00",2024-10-26 06:00:00,0,1,0
1,2024-10-26,7,-42.2,"07:00:00",2024-10-26 07:00:00,2,1,2
1,2024-10-26,8,-44.2,"08:00:00",2024-10-26 08:00:00,2,1,2
1,2024-10-26,9,-46.2,"09:00:00",2024-10-26 09:00:00,2,1,2
1,2024-10-26,10,-48.7,"10:00:00",2024-10-26 10:00:00,2.5,1,2.5
1,2024-10-26,11,-51.8000000000001,"11:00:00",2024-10-26 11:00:00,3.10000000000009,1,3.10000000000009
1,2024-10-26,12,-54.3000000000001,"12:00:00",2024-10-26 12:00:00,2.5,1,2.5
1,2024-10-26,13,-56.3000000000001,"13:00:00",2024-10-26 13:00:00,2,1,2
1,2024-10-26,14,-58.3000000000001,"14:00:00",2024-10-26 14:00:00,2,1,2
1,2024-10-26,15,-60.9,"15:00:00",2024-10-26 15:00:00,2.5999999999999,1,2.5999999999999
1,2024-10-26,16,-63.4,"16:00:00",2024-10-26 16:00:00,2.5,1,2.5
1,2024-10-26,17,-65.4,"17:00:00",2024-10-26 17:00:00,2.00000000000001,1,2.00000000000001
1,2024-10-26,18,-67.4,"18:00:00",2024-10-26 18:00:00,2,1,2
1,2024-10-26,19,-69.4,"19:00:00",2024-10-26 19:00:00,2,1,2
1,2024-10-26,20,-71.5,"20:00:00",2024-10-26 20:00:00,2.09999999999999,1,2.09999999999999
1,2024-10-26,21,-73,"21:00:00",2024-10-26 21:00:00,1.5,1,1.5
1,2024-10-26,22,-74.5,"22:00:00",2024-10-26 22:00:00,1.5,1,1.5
1,2024-10-26,23,-75.5,"23:00:00",2024-10-26 23:00:00,1,1,1
1,2024-10-27,3,-76.5,"03:00:00",2024-10-27 03:00:00,1,2,0.5
1,2024-10-27,4,-76.5,"04:00:00",2024-10-27 04:00:00,0,1,0
1,2024-10-27,5,-77,"05:00:00",2024-10-27 05:00:00,0.5,1,0.5
1,2024-10-27,6,-77.5,"06:00:00",2024-10-27 06:00:00,0.5,1,0.5
1,2024-10-27,7,-80,"07:00:00",2024-10-27 07:00:00,2.5,1,2.5
1,2024-10-27,8,-82.1,"08:00:00",2024-10-27 08:00:00,2.09999999999999,1,2.09999999999999
1,2024-10-27,9,-84.1,"09:00:00",2024-10-27 09:00:00,2,1,2
1,2024-10-27,10,-86.1,"10:00:00",2024-10-27 10:00:00,2,1,2
1,2024-10-27,11,-88.1,"11:00:00",2024-10-27 11:00:00,2,1,2
1,2024-10-27,12,-90.2,"12:00:00",2024-10-27 12:00:00,2.10000000000001,1,2.10000000000001
1,2024-10-27,13,-92.2,"13:00:00",2024-10-27 13:00:00,2,1,2
1,2024-10-27,14,-95.65,"14:00:00",2024-10-27 14:00:00,3.45,1,3.45
1,2024-10-27,15,-99.1,"15:00:00",2024-10-27 15:00:00,3.44999999999999,1,3.44999999999999
1,2024-10-27,16,-101.2,"16:00:00",2024-10-27 16:00:00,2.10000000000001,1,2.10000000000001
1,2024-10-27,17,-103.7,"17:00:00",2024-10-27 17:00:00,2.5,1,2.5
1,2024-10-27,18,-106.2,"18:00:00",2024-10-27 18:00:00,2.5,1,2.5
1,2024-10-27,19,-109.2,"19:00:00",2024-10-27 19:00:00,3,1,3
1,2024-10-27,20,-112.3,"20:00:00",2024-10-27 20:00:00,3.09999999999999,1,3.09999999999999
1,2024-10-27,21,-114.8,"21:00:00",2024-10-27 21:00:00,2.5,1,2.5
1,2024-10-27,22,-117.3,"22:00:00",2024-10-27 22:00:00,2.5,1,2.5
1,2024-10-27,23,-117.8,"23:00:00",2024-10-27 23:00:00,0.5,1,0.5
1,2024-10-28,2,-117.8,"02:00:00",2024-10-28 02:00:00,0,1,0
1,2024-10-28,3,-118.8,"03:00:00",2024-10-28 03:00:00,1,1,1
1,2024-10-28,4,-118.8,"04:00:00",2024-10-28 04:00:00,0,1,0
1,2024-10-28,5,-119.3,"05:00:00",2024-10-28 05:00:00,0.5,1,0.5
1,2024-10-28,6,-119.8,"06:00:00",2024-10-28 06:00:00,0.5,1,0.5
1,2024-10-28,7,-122.4,"07:00:00",2024-10-28 07:00:00,2.60000000000001,1,2.60000000000001
1,2024-10-28,8,-124.9,"08:00:00",2024-10-28 08:00:00,2.5,1,2.5
1,2024-10-28,9,-127.4,"09:00:00",2024-10-28 09:00:00,2.5,1,2.5
1,2024-10-28,10,-130.95,"10:00:00",2024-10-28 10:00:00,3.54999999999998,1,3.54999999999998
1,2024-10-28,11,-136,"11:00:00",2024-10-28 11:00:00,5.05000000000001,1,5.05000000000001
1,2024-10-28,12,-139.5,"12:00:00",2024-10-28 12:00:00,3.5,1,3.5
1,2024-10-28,13,-143.6,"13:00:00",2024-10-28 13:00:00,4.09999999999999,1,4.09999999999999
1,2024-10-28,14,-146.6,"14:00:00",2024-10-28 14:00:00,3,1,3
1,2024-10-28,15,-150.1,"15:00:00",2024-10-28 15:00:00,3.5,1,3.5
1,2024-10-28,16,-152.8,"16:00:00",2024-10-28 16:00:00,2.70000000000002,1,2.70000000000002
1,2024-10-28,17,-156.3,"17:00:00",2024-10-28 17:00:00,3.5,1,3.5
1,2024-10-28,18,-159.4,"18:00:00",2024-10-28 18:00:00,3.09999999999999,1,3.09999999999999
1,2024-10-28,19,-161.9,"19:00:00",2024-10-28 19:00:00,2.5,1,2.5
1,2024-10-28,20,-164.9,"20:00:00",2024-10-28 20:00:00,3,1,3
1,2024-10-28,21,-168,"21:00:00",2024-10-28 21:00:00,3.09999999999999,1,3.09999999999999
1,2024-10-28,22,-170,"22:00:00",2024-10-28 22:00:00,2,1,2
1,2024-10-28,23,-170,"23:00:00",2024-10-28 23:00:00,0,1,0
1,2024-10-29,2,-170.5,"02:00:00",2024-10-29 02:00:00,1,1,1
1,2024-10-29,3,-170.5,"03:00:00",2024-10-29 03:00:00,0,1,0
1,2024-10-29,4,-170.5,"04:00:00",2024-10-29 04:00:00,0,1,0
1,2024-10-29,5,-171.5,"05:00:00",2024-10-29 05:00:00,1,1,1
1,2024-10-29,6,-171.5,"06:00:00",2024-10-29 06:00:00,0,1,0
1,2024-10-29,7,-174.5,"07:00:00",2024-10-29 07:00:00,3,1,3
1,2024-10-29,8,-177.05,"08:00:00",2024-10-29 08:00:00,2.55000000000001,1,2.55000000000001
1,2024-10-29,9,-180.6,"09:00:00",2024-10-29 09:00:00,3.54999999999998,1,3.54999999999998
1,2024-10-29,10,-183.1,"10:00:00",2024-10-29 10:00:00,2.5,1,2.5
1,2024-10-29,11,-187.15,"11:00:00",2024-10-29 11:00:00,4.04999999999998,1,4.04999999999998
1,2024-10-29,12,-191.2,"12:00:00",2024-10-29 12:00:00,4.05000000000001,1,4.05000000000001
1,2024-10-29,13,-194.2,"13:00:00",2024-10-29 13:00:00,3,1,3
1,2024-10-29,14,-197.25,"14:00:00",2024-10-29 14:00:00,3.05000000000001,1,3.05000000000001
1,2024-10-29,15,-200.3,"15:00:00",2024-10-29 15:00:00,3.05000000000001,1,3.05000000000001
1,2024-10-29,16,-202.3,"16:00:00",2024-10-29 16:00:00,2,1,2
1,2024-10-29,17,-205.35,"17:00:00",2024-10-29 17:00:00,3.05000000000001,1,3.05000000000001
1,2024-10-29,18,-206.4,"18:00:00",2024-10-29 18:00:00,1.04999999999998,1,1.04999999999998
1,2024-10-29,19,-208.9,"19:00:00",2024-10-29 19:00:00,2.5,1,2.5
1,2024-10-29,20,-212,"20:00:00",2024-10-29 20:00:00,3.09999999999999,1,3.09999999999999
1,2024-10-29,21,-214.5,"21:00:00",2024-10-29 21:00:00,2.5,1,2.5
1,2024-10-29,22,-217,"22:00:00",2024-10-29 22:00:00,2.5,1,2.5
1,2024-10-29,23,-218,"23:00:00",2024-10-29 23:00:00,1,1,1
1,2024-10-30,2,-218.5,"02:00:00",2024-10-30 02:00:00,0.5,1,0.5
1,2024-10-30,3,-219,"03:00:00",2024-10-30 03:00:00,0.5,1,0.5
1,2024-10-30,4,-219.5,"04:00:00",2024-10-30 04:00:00,0.5,1,0.5
1,2024-10-30,5,-220,"05:00:00",2024-10-30 05:00:00,0.5,1,0.5
1,2024-10-30,6,-220,"06:00:00",2024-10-30 06:00:00,0,1,0
1,2024-10-30,7,-223.6,"07:00:00",2024-10-30 07:00:00,3.59999999999999,1,3.59999999999999
1,2024-10-30,8,-226.1,"08:00:00",2024-10-30 08:00:00,2.5,1,2.5
1,2024-10-30,9,-229.1,"09:00:00",2024-10-30 09:00:00,3,1,3
1,2024-10-30,10,-232.7,"10:00:00",2024-10-30 10:00:00,3.59999999999999,1,3.59999999999999
1,2024-10-30,11,-236.7,"11:00:00",2024-10-30 11:00:00,4,1,4
1,2024-10-30,12,-240.7,"12:00:00",2024-10-30 12:00:00,4,1,4
1,2024-10-30,13,-245.3,"13:00:00",2024-10-30 13:00:00,4.60000000000002,1,4.60000000000002
1,2024-10-30,14,-249.8,"14:00:00",2024-10-30 14:00:00,4.5,1,4.5
1,2024-10-30,15,-253.9,"15:00:00",2024-10-30 15:00:00,4.09999999999999,1,4.09999999999999
1,2024-10-30,16,-257.9,"16:00:00",2024-10-30 16:00:00,3.99999999999997,1,3.99999999999997
1,2024-10-30,17,-261.95,"17:00:00",2024-10-30 17:00:00,4.05000000000001,1,4.05000000000001
1,2024-10-30,18,-265,"18:00:00",2024-10-30 18:00:00,3.05000000000001,1,3.05000000000001
1,2024-10-30,19,-269,"19:00:00",2024-10-30 19:00:00,4,1,4
1,2024-10-30,20,-273.1,"20:00:00",2024-10-30 20:00:00,4.10000000000002,1,4.10000000000002
1,2024-10-30,21,-276.1,"21:00:00",2024-10-30 21:00:00,3,1,3
1,2024-10-30,22,-279.1,"22:00:00",2024-10-30 22:00:00,3,1,3
1,2024-10-30,23,-279.6,"23:00:00",2024-10-30 23:00:00,0.5,1,0.5
1,2024-10-31,2,-280.5,"02:00:00",2024-10-31 02:00:00,1,1,1
1,2024-10-31,3,-280.5,"03:00:00",2024-10-31 03:00:00,0,1,0
1,2024-10-31,4,-281.5,"04:00:00",2024-10-31 04:00:00,1,1,1
1,2024-10-31,5,-281.5,"05:00:00",2024-10-31 05:00:00,0,1,0
1,2024-10-31,6,-282.05,"06:00:00",2024-10-31 06:00:00,0.550000000000011,1,0.550000000000011
1,2024-10-31,7,-285.6,"07:00:00",2024-10-31 07:00:00,3.55000000000001,1,3.55000000000001
1,2024-10-31,8,-288.6,"08:00:00",2024-10-31 08:00:00,3,1,3
1,2024-10-31,9,-292.15,"09:00:00",2024-10-31 09:00:00,3.54999999999995,1,3.54999999999995
1,2024-10-31,10,-296.2,"10:00:00",2024-10-31 10:00:00,4.05000000000001,1,4.05000000000001
1,2024-10-31,11,-300.2,"11:00:00",2024-10-31 11:00:00,4,1,4
1,2024-10-31,12,-304.3,"12:00:00",2024-10-31 12:00:00,4.10000000000002,1,4.10000000000002
1,2024-10-31,13,-308.4,"13:00:00",2024-10-31 13:00:00,4.09999999999997,1,4.09999999999997
1,2024-10-31,14,-311.4,"14:00:00",2024-10-31 14:00:00,3,1,3
1,2024-10-31,15,-314.5,"15:00:00",2024-10-31 15:00:00,3.10000000000002,1,3.10000000000002
1,2024-10-31,16,-319,"16:00:00",2024-10-31 16:00:00,4.5,1,4.5
1,2024-10-31,17,-321,"17:00:00",2024-10-31 17:00:00,2,1,2
1,2024-10-31,18,-324,"18:00:00",2024-10-31 18:00:00,3,1,3
1,2024-10-31,19,-327.55,"19:00:00",2024-10-31 19:00:00,3.55000000000001,1,3.55000000000001
1,2024-10-31,20,-331.6,"20:00:00",2024-10-31 20:00:00,4.05000000000001,1,4.05000000000001
1,2024-10-31,21,-335.1,"21:00:00",2024-10-31 21:00:00,3.5,1,3.5
1,2024-10-31,22,-338.7,"22:00:00",2024-10-31 22:00:00,3.59999999999997,1,3.59999999999997
1,2024-10-31,23,-339.2,"23:00:00",2024-10-31 23:00:00,0.5,1,0.5
1,2024-11-01,2,-340.2,"02:00:00",2024-11-01 02:00:00,1,1,1
1,2024-11-01,3,-341.2,"03:00:00",2024-11-01 03:00:00,1,1,1
1,2024-11-01,4,-341.2,"04:00:00",2024-11-01 04:00:00,0,1,0
1,2024-11-01,5,-341.7,"05:00:00",2024-11-01 05:00:00,0.5,1,0.5
1,2024-11-01,6,-342.2,"06:00:00",2024-11-01 06:00:00,0.5,1,0.5
1,2024-11-01,7,-345.7,"07:00:00",2024-11-01 07:00:00,3.5,1,3.5
1,2024-11-01,8,-349.8,"08:00:00",2024-11-01 08:00:00,4.10000000000002,1,4.10000000000002
1,2024-11-01,9,-352.8,"09:00:00",2024-11-01 09:00:00,3,1,3
1,2024-11-01,10,-356.8,"10:00:00",2024-11-01 10:00:00,4,1,4
1,2024-11-01,11,-361.9,"11:00:00",2024-11-01 11:00:00,5.09999999999997,1,5.09999999999997
1,2024-11-01,12,-365.9,"12:00:00",2024-11-01 12:00:00,4,1,4
1,2024-11-01,13,-371,"13:00:00",2024-11-01 13:00:00,5.10000000000002,1,5.10000000000002
1,2024-11-01,14,-375.5,"14:00:00",2024-11-01 14:00:00,4.5,1,4.5
1,2024-11-01,15,-380.1,"15:00:00",2024-11-01 15:00:00,4.60000000000002,1,4.60000000000002
1,2024-11-01,16,-385.1,"16:00:00",2024-11-01 16:00:00,5,1,5
1,2024-11-01,17,-389.2,"17:00:00",2024-11-01 17:00:00,4.09999999999997,1,4.09999999999997
1,2024-11-01,18,-393.2,"18:00:00",2024-11-01 18:00:00,4,1,4
1,2024-11-01,19,-397.75,"19:00:00",2024-11-01 19:00:00,4.55000000000001,1,4.55000000000001
1,2024-11-01,20,-401.3,"20:00:00",2024-11-01 20:00:00,3.55000000000001,1,3.55000000000001
1,2024-11-01,21,-405.3,"21:00:00",2024-11-01 21:00:00,4,1,4
1,2024-11-01,22,-408.35,"22:00:00",2024-11-01 22:00:00,3.05000000000001,1,3.05000000000001
1,2024-11-01,23,-408.9,"23:00:00",2024-11-01 23:00:00,0.549999999999955,1,0.549999999999955
1,2024-11-02,2,-409.4,"02:00:00",2024-11-02 02:00:00,0.5,1,0.5
1,2024-11-02,3,-409.9,"03:00:00",2024-11-02 03:00:00,0.5,1,0.5
1,2024-11-02,4,-410.4,"04:00:00",2024-11-02 04:00:00,0.5,1,0.5
1,2024-11-02,5,-410.9,"05:00:00",2024-11-02 05:00:00,0.5,1,0.5
1,2024-11-02,6,-411.4,"06:00:00",2024-11-02 06:00:00,0.5,1,0.5
1,2024-11-02,7,-415.4,"07:00:00",2024-11-02 07:00:00,4,1,4
1,2024-11-02,8,-419,"08:00:00",2024-11-02 08:00:00,3.60000000000002,1,3.60000000000002
